tweet,class
" inakuaje kwa wanawake wanonuka ukeni na mwanaume kunuka jasho,, inakaaje apo wapwaaaa",ABUSIVE
 Kwanii we iyoo k* yakoo huwaga una isafishaa kwel maana mmmmmh,ABUSIVE
 ttz ulio kua nae haku kazi vizuru ndomana una kua una wasema sn wana ume,NOT
 ata baba yk pia ita kua ana nuka,ABUSIVE
 Acha ukongoni ww,NOT
 Imeandikwa MWANAUME atakula kwa JASHO??,NOT
 Komaaaaaa na mtindi wako kama unanyonyesha paka wa bar!,ABUSIVE
 Wametoka kazini mama ww subir ya kutolea,NOT
" Umepishana nao au umelala nao, kuwa mkweli Dada. Unapigwa"" dungus"" na wanuka vikwapa siku hizi. Umeisha wewe huna lolote miguu utafikiri ni meddie kagere.",ABUSIVE
 Wananuka kazi hao sio mekap,NOT
" Maisha kuvumiliana dada, tukisema tukwambie ukweli kuhusu muonekano wako, unaweza fungua kesi ya money laundry",NOT
" jitie kidole kwanye hilo li KUM,,lako ndo utajua hao wanaume wananuka au wananukia! we ungekua haunuki ungekuwa unatiwa then unatupuliwa mbali,,,????",ABUSIVE
 Yenu tunawasitili tu hatuwasemi kwa sabab tunajielewa,NOT
 Laiti ungelijua kwamba mwanke hutoa harufu mbovu ungeliacha mdomomdomo Malaya mkubwa,ABUSIVE
" tuna matatizo ya kifamilia na maji, unatakaje?",NOT
 Wewe hunuki?,NOT
 Ungejaribu kuchunguza vizuri chupi yako huwenda ilikuwa imekaa vibaya ndo mana harufu,ABUSIVE
 Mwaka huu utapata tabu sana  maana wa kukuoa hayupo Utabaki kugongwa kisela tu. Frustration and loneliness havitakuacha salama.,ABUSIVE
 Unaumwa nn,NOT
 Yanawasha,NOT
 We unatafuta kiki hakuna kingine mpumbavu usiyejitambua we,ABUSIVE
 Baba ako alipotoka jela ameacha kuoga? Mbona unamsema Sana.,ABUSIVE
 Wewe huwa una shida gani na wanaume maana kila siku unawalaumu tu hauna boyfriend dada? Kama unae basi tulia nae basi sio kuwachunguza men wengn na wenyewe ni wa wadada wa watu,NOT
 Wapwa kitu msijokijua kwangu ni kwamba mkijichanga kwa kunipa 10000 me diva namuua,ABUSIVE
 Weweambaye unanuka K....??,ABUSIVE
 Eti 500Ml ?????? labda kambale wawili kutoka mto Malagarasi,NOT
 atuna ugovi na maji bali majukumu makubwa tulio nayo,NOT
 Unafikili pesa zinatoka mkundu?,ABUSIVE
 Tunanuka kwa jasho la kazi bibi,ABUSIVE
 Siku nyingine achaga kunusa watu,ABUSIVE
 Ndo maana ivo ivoooo,NOT
 Kwanza alie kwambia useme mbele ya wanaume nani unajua najiuliza jeuri iyo umetoa wap,NOT
 Purely nonsensical observation!,ABUSIVE
" Utakua na nyota ya kondoo si bure mana muda Mwingi wanaume wanaonuka mara viatu vyao mara vikwapa,Ndio type yako hiyo! Au unakutana na wabeba mkaa?",ABUSIVE
 Pale kwenu,NOT
 Matatzo ya mapua yako ya kunusa nusa,NOT
 Mil 500 eee unasumbuwa bwabmna wako uyo mwambie akonge,NOT
 Kuna kitu unakitafuta kwa wanaume,NOT
 Tabia yako ya kuwasema wanaume.. Kuna Siku utakuja upigwe mtungo ndo utajua hujui ??,ABUSIVE
 bora wewe unapenda wanao nukia,NOT
 Kupaka wese??????,NOT
 Unatuwaza Sana inaonekanaa,NOT
 Sio lazima kuoga mwenye shida ya kuoga oga ni mwanamke sie ni wanaume,NOT
 Hebu jitie kidole alafu weka juu uone kama nzi hawaji,ABUSIVE
 Hyo mimba changa yako inakusumbua wewe...,ABUSIVE
" Mwanzo nlifikiri unamaanisha, but nowadays nimetambua kuwa kuponda wanaume ni kiki yako mpya. Haitustui!!!!!",NOT
" Hivi diva, Yule Heri muziki kunuka miguu ndo kulisababisha ukamuacha???",ABUSIVE
Emb nipe extent yake yakunuka miguu.,ABUSIVE
" Women glow, Men perspire",NOT
 Hivi huyu diva anamtukana Baba yake mzazi,NOT
 Unge wauliza wao sas unakuja kutuuliza cc huku kwani tulikoweko au ndo kutafuta kutuchosha akir zet to!!,NOT
 Diva Basi toka mwaka 2009 mpka leo unatusema tunatfautiana,NOT
" Duuuh bibi ushazeeka kubali tu, your time is up. Stop seekin attention",NOT
 mwanaume huna hela unaoga ugundue nini...,NOT
 Kwani uliwanusa wa Nini na wewe????,NOT
" Uje wewe ni Mtu mzima, Embu ongea Mambo yakiutuuzima basi",NOT
" Ndiyo unatueleza kuwa umetembea na wanaume wa type hiyo, kweli wee Kahaba!",ABUSIVE
 Even ww Kuna kitu kwenye mwili wako akikosawa pia. ??,NOT
 We mbona hupati mwanaume wa maana sababu ya harufu inayotoka huko chini.. unafeli wapi na wewe?,ABUSIVE
 Wanataka uwaogeshe ??,NOT
 Shirikisha Akili acha kutumia tumbo kufikiri heshimu utu wa watu alafu ukisema wanaume je nawanaume wakisema pata tosha kweli?acha ujinga jitahidi kuhudhuria kicheni pati zitakuidiaga lau ujielewe kidogo.,ABUSIVE
 Inawezekana kuna tatizo katika mfumo wake wa ngozi,NOT
" Sister huu n uzalilishaji, umejiuliza wanafanya kazi gani? Wametoka wapi? Imagine umepishana na mfanyakazi wa Dawasco katoka kurekebisha septic, ulitka anukie perfume?",NOT
 wewe mwenyewe papa lako linanuka,ABUSIVE
 mbona we unatoka bleed una tatizo gani,ABUSIVE
 Kunakazi ngumu ukifanya hata perfume hushindwa kujidhirisha inaambatana na jasho ...vumilia tuu,NOT
 Kula yenyewe tuliambiwa kwa jasho sasa unazani kama kula tunakula. Kwa jasho itakuwa kutembea tulia wewe mwanaume kunuka ndio mpango wa mungu tena kaa kimya????,NOT
 Jinuse labda ulikuwa unanuka wewe maana mwili wa binadamu unuka,ABUSIVE
 aliwazalo mjinga ndilo linalomtokea,ABUSIVE
 Tunakuachia wewe ambaye usipo oga siku moja tu unanuka kama kafa panya,ABUSIVE
 Hiyo arufu c unaipata baada ya kufukuliwa mtaro wako... We changu usituzoee kabisa ss wanaume...,ABUSIVE
 Sema wanawake ndo mnanuka balaa sema sie wanaume tunawasitiri tu.,ABUSIVE
 ..Kula lazima kuoga hiari..,NOT
 Wewe pamoja na usafi wako wote ulionao tukikuchovya mara moja tu lazima itatoa harufu ????,ABUSIVE
 Waulize 'na wanawake wenzio kwa nini wananuka k?shida nini tukianzia 'na wewe,ABUSIVE
 Wananuka nini fafanua,NOT
 Alipishana na mshua,NOT
 Ulikuwa unafanya nn maeneo ya wanaume wanaonuka? Aren't u supposed to be near men who can afford 500 million,NOT
 Baby usituseme kumbuka tunategemeana,NOT
" Falaaaaaaaa divaaaaaa, mbon juzi ulikuwa unanuka sikukwambia Afu ubadilishe chupi siyo moja tu ile nyeupe",ABUSIVE
" Msimpe airtime malaya low life kama huyu, anakuja na vi bogus story vya kuudhi makusudi anajua mta overreact na yy apate airtime",NOT
" Ndo maana huolewi nguchiro ww, wanawake wenzio akina Barbara, dj sinyorita, many baby ,Geah ,Husina na jembe letu meena Ally hawako Ivo, fika mahala jiheshimu",ABUSIVE
 Subiria Uletewe Mil 100! Acha Kelele,NOT
 kwann na ww una matatzo gani  anakupokonya bwana,NOT
 Shenzii,ABUSIVE
 Unaishi sehemu gani? Tatizo laweza kuwa ni huo mtaa au maeneo unayotembelea,NOT
" Achana na wanaume ,na hao hao ndo wanakuchafuaga.",ABUSIVE
 Hata upande wa pili upo hivo hivo tu... alaf sasa ishu sio maji ndo hapo,NOT
 Wanawake wasio orewa huwa wanamatatizo kwasbabu kila mwanaume anakua.anamufahamu,ABUSIVE
 nawashangaa wanakomaa kukujibu we mbuzi,ABUSIVE
 Hebu nusa Uke wako Kwanza Alafu utupe Taarifa,ABUSIVE
 Unaweza ukajitima maji mpaka n ukaendea kunuka,NOT
malaya kunuka wewe,ABUSIVE
 C ukamsafishe kama ananuka nyie wadada mkojeee,NOT
 Hivi aliyekutoa bikra ni mwanamke mwenzako et,ABUSIVE
 unapenda sana kuinamishwa iv unamatatizo gan nakifo chamende,ABUSIVE
 Diva kumbe na wew aunaga akili,ABUSIVE
 Sasa kwanini usimwambie?,NOT
 muulize bwana wako,ABUSIVE
 Wewe msubiri atakayekuja kukuoa na mil 500...ndio umwambie huo ushuzi,ABUSIVE
 Ungewauliza wenywe sasa unamuuliza nani??,NOT
 ao wanaonuka jasho ndo wanakufanya ww unabadili ad macho,NOT
 nyie wenyewe mnanuka sema manukato manayotumia yanawafichia aibu,ABUSIVE
" Sio wanaume tu,hata baadhi ya wanawake ukiongea nae utasikia harufu inatoka mdomoni kama mayai viza yamepasuka mdomoni mwake",ABUSIVE
 Mmmmmh sometimes tusipoteze muda wa kubishana na mataahira .na yeye atakufa tu,ABUSIVE
 Shida sio maji tunatafuta na zakutolea,NOT
 Eh mwenyezi tunakuomba chukua hii mbwa mwitu turudishie Kobe na mangwea,ABUSIVE
 Diva unanuka haja,ABUSIVE
 Me pia nmepishana na wanawake wananuka kwani mnamatatzo gan na maji nyie,ABUSIVE
 Itakuwa ni wanaume wa Sports Extra hao si ndo unapshana nao ktk vpnd?? ,NOT
 Atakuwa babaako,ABUSIVE
 hustle unanukiaje vipafyumu asee,NOT
 Labda walikuwa wamejampa ??????,ABUSIVE
 BABA YAKE JINSIA GANI,NOT
 Mbona na ww unanuka atusemi,ABUSIVE
" Ananuka NGUVU, au alikuwa ananuka nini?",NOT
 Eehh kwani umeisi mwanaume ni samaki mbaka azoee maji,NOT
 Ata na wewe unanuka tena sanaa tu,ABUSIVE
 Sauti unayo nzuri hilo sipingani nalo ila nishawahi kutana na wewe na unanuka mdomo balaa nikahisi ndo manaa wanaume hawadumu na wewe kwenye mahusiano,ABUSIVE
 Kunuka ni kawaida kwa wanaume dada....mbona ss hatushangai wanawake kunupa bambucha,ABUSIVE
 You never know itakuwa unanuka ww,ABUSIVE
 Tunamatatizo ya kudet na wanawake mnaonuka,ABUSIVE
 Kumbe ndomana ww diva watu wanakufaya jamvi wanakutia tia vidole wanakuacha,ABUSIVE
 Wanaume kazi,NOT
 Nadhan mbak ifik 2025 kweny million 500 itabak mia tani??????,NOT
 Hahahaha mbona wewe unanuka jamani si unavumiliwa tuu halafu navile unahela yakudangia viperfume havikupigi chenga????,ABUSIVE
" Hata wewe kuna wanaokuona unanuka, HEBU KITIE KIDOLE UNUSE UTUAMBIE UMEONA NINI",ABUSIVE
 Hata nyie mbona mnanuka k kwan mnamatatzo gan na maj??,ABUSIVE
 Hao nimabaharia,NOT
 Mbona wewe uko na UTI hatusemi. Tuache bn.,ABUSIVE
 Hivii divaa una nini lakin????,NOT
 Acha matusi hata wewe unanuka,ABUSIVE
 tunanuka pumbu jua kali achana na sisi??,ABUSIVE
 Kamuulize baba yako atakupa jibu,ABUSIVE
 Duuuuh na umemsaidiaje?,NOT
 Toka wamemkwich kwich na baba Lao wakamwambia ananuka sahv anawaona wanaume wote wabaya,ABUSIVE
 Uyo ndo mwanaume beberu mtafutaji unae mwambia tuma na yakutolea,NOT
 wananuka nini sas,NOT
 Ungewauliza,NOT
 Unateseka na Nini,NOT
 Au mwenzetu unatafuta kiki upate follows nyingi kwa Jambo lisilo na kichwa Wala miguu,NOT
 Yaani Mtu akikusikiliza Sauti Kwenye Vifaa Vyetu Na Akikuona Atakimbiaa Au Kuzimia Kabisa ????????,ABUSIVE
 Hao wanaume wanaonuka unakutanao wapi Kama sio mdangaji??????usitangaze ujinga wako hadharani,ABUSIVE
 Dah ya mtu kama huyu hapati like wala retweet wala comment katika post kama hii...Mtaona kama atarudi siku nyingine,NOT
 Wananuka Kama kuma yako,ABUSIVE
 Diva Acha Uongo!!!! Tumepishana na wewe ndo unanuka Sio Kwamba Sisi ndio tunanuka ??????????,ABUSIVE
 Yaan weweee??????????,NOT
 Utajuaje kama we ndo ulijamba,ABUSIVE
 Sisi Wanaume ni MAITI zinazotembea.,NOT
 Atakae kuoa c wa east Africa maana tushakujua tabia zako,NOT
 Wewe mbona tumepishana unanuka mkojo nkutangaze?,ABUSIVE
 Basi hao wanaonuka ndio level zako! Uwaga unatafauta nini adi unakutana na wanaonuka?,ABUSIVE
 Ila mkiumwa michango mnaomba kwa wanukaji fame za kisee,ABUSIVE
 Utakuwa Na Ngoma wewe.. Unapanic Sana!!!,NOT
 Acha kutuvunjia eshima,NOT
 Itakua katoka kumkaza demu mwenzio maana sikuizi mnanuka naili jua,ABUSIVE
 Hiki kizee kina nyege sana Pole aisee,ABUSIVE
 We unapenda kunukia sn kwa umeolewa na jini???,NOT
 Diva unajikutaga nani vile?? Usikute wewe pia unaongoza kutoka jasho dar nzima,ABUSIVE
 We unaejishaua hapo unaweza ukajikuta kila dakika unajipulizia unyunyu kwasbb unanuka na kila dakika unatokwa maji chini,ABUSIVE
 Babaako mwanamke sio?,ABUSIVE
" Fuckin,unadhani hzo ela tunazikojoa",ABUSIVE
 Dar ni ngumu sana hiki kipindi,NOT
 Ahahahahhahaha mabaharia hao,NOT
" Diva as day's goes, unapoteza credibility yako kwa post zako, kiaina watu hatu zipendi",NOT
 Iv ww akili zak zip wap??????,NOT
 Yan ww every after 5 min unanuka dada angu acha maringo me ntanuka jasho ww utanuka hd pu**,ABUSIVE
 Wewe mungu anaweza kukuonesha kitu hapa duniani ...ukakosa msaada na ukahitaji watu wakukwamue ikashindikan kwa upuuz usiojielewa unazungumza na kwa uwezo wake litakukuta tu mimi SIKUPENDI,NOT
 Huyu hajielewi,ABUSIVE
 Watakuwa watangazaji wenzako wa cloud fm1??,NOT
utakua umewajambia au wamekugusa ndo maana wananuka,ABUSIVE
 Unamaanisha wanaume unaofanya nao kazi hapo clouds media group au coz cc huku hatujapishana na ww kisonono,NOT
 acha ujinga pumbavu nn,ABUSIVE
 Tuna tafuta hella !! Kila mtu ashinde match zake,NOT
 Mie ni mwanaume na tabia hii mie pia sipendi yani mtu unanuka halafu sasa harufu yenyewe sio ya jasho kwanza sio harufu ni uuvundoooo,ABUSIVE
" Nanuka jasho ,ila mfukoni ninanukia,??",NOT
" Tangu lini ""Beberu"" akanukia",NOT
wanaume Jitahidin sana kuwa mnatembea na Pipi kifua kinywa kisitoe Harufu,NOT
kiukwel kabisa hakuna mwanaume anaenda mtembelea mwanamke na kuvua viatu bila harufu ya miguu,NOT
 Unao kutana nao wewe ndo wananuka soski na kwa hadhi yako unawatoa wapi watu wa hivyo�? ????,NOT
 cheee .......likojeeeee iliiii..,NOT
wengi wa wanaume wanaowaambia wanawake wanadanga ni wanaume wasio na Pesa za Kuwahudumia,NOT
wanaume wengi wa Tanzania Hulala bila Kuoga !.,ABUSIVE
Haya Maisha Usijifanye we fundi sana unajua kulia kitandani Hawa wanaume hawadanganyiki dada,NOT
ukinyimwa tabia ukapewa shepu dada ringa,NOT
 ????wee unaringa na huna tabia wala shap,NOT
Nimejiuliza sana hivi wanaume mnapoamka na mwanamke ambaye sio mkeo kitanda unacholala na mkeo huwa mnawaza nini,NOT
nasikia nina mume uku twitter? una hela? umemaliza chuo au ndio ungaunga mi stak shida bana hakikisha unajiweza hasa,NOT
Kama Jana Hujapewa Maua Basi Dada Imeisha Hio,NOT
"kuna watu hawajatumiwa maua, hawajaenda dinner, wala hawaambiwa i love you baby, cha kuumiza zaid hata emoji ya kop",NOT
tena wanitag kabisa wanipe followers maana mi mshipa wa kujal ulikatika kitamboooo,NOT
"ujinga ni kukaa na kujibizana na kijana wa Twitter anaeishi choo cha ku share, level up",ABUSIVE
yan vile naumia kusoma kufanya mitihan na kulala for 3 hrs afu mwanaume aje anataka kunioa kaishia form 4,NOT
 Pumbu zako weweee,ABUSIVE
 Pimbi wewe,ABUSIVE
 Bora nibami Single kulikuwa na mwanamke kichefu chefu kama wewe,ABUSIVE
 Mbaya kama bagia Nani atakae kuowa sauti unayo sura huna tako huna kile kitoto kilikuacha ulishinda unalia kama umefiwa ?????? kunguru wew,ABUSIVE
 Kwamba kinachofuata ni Mikasi au?,NOT
 Nini et; Safi sana Dr ,NOT
 Mkuu mm nipo urambo ..nahtji kufnya kilimo Cha kisasa ssa shida ni mtaji wa water pump Kama sham,NOT
 Wewe ujitokewa kwenye uwaziri lazima upande mahakamani kwa ufisadi.;,NOT
Watafute miradi yao kwani wamezuiliwa?! Maisha ni choices you make ,NOT
"Sehemu kubwa ya vitu hivi nilivifanya kabla ya kuwa Mbunge! 😀Kimsingi Ubunge umenichelewesha. Nilipofikia sifanyi kazi ili nipate chakula, nafanya ili kuleta mabadiliko kwenye jamii yangu. Mwingine atasema hiki ni kiburi ama majivuno, lakini Ndiyo ukweli ",NOT
" Doctor ww ni mwanasiasa, maneno ya mwanasiasa sio ya kuamini. Ww pokea maposho na salary, kopa wisely sababu una privillage lakin VIJANA KUPATA AJIRA NI JUKUMU LA SERIKALI. TATZO AFRICA VIONGOZ NI WAKIMBIA MAJUKUMU.;",NOT
 Ok si Bado ,NOT
Huna la wema. ,NOT
 Kufurahisha watu kazi sana 😂😂; 😂😂😂;,NOT
Nimesema sikuwahi kuajiriwa. Huamini? 😀,NOT
 Na sasa?; Hata ubunge na uwaziri umejiajiri.;,NOT
 Acha kupotosha watanzania uliwahi kufanya mgodini ukafukuzwa ,NOT
 😂😂;,
 Where did u get ur capital to do all that then ??;,NOT
Watu wenye chuki na roho mbaya huwa hawakosi maneno. ,NOT
 Hatu kama hawa huwa hawakosi ata mambo ya msingi wao ni kejeli tu;,NOT
" M mwnyw nimejiajir ktk kilimo cha nyanya tu ,huu ni mwaka wa pili matokeo na mabadliko chanya nayaona na ctaman kuajiriwa.kwahyo atae kuamin atbamin asotaka mwac",NOT
"Siyo hiyo kampuni, hizi kampuni. Mimi Nina group of companies kabisa. Vipi, ulikuwa unanichukulia poa sana nini? Mimi mpiganaji bro. Naongea maisha niliyoishi siyo theories ",NOT
 Kigwanomics....  😁😁; Ww Una kampuni Gani bana acha kutuzuga wenye Kampun sis tunawajua acha hizo;,NOT
 Yaani mtu una group of companies kubwa unaenda ajiriwa ... Ni sawa na Bakhresa aende kuajiriwa ... Hata hao wak,NOT
Kila siku naongea haya. ,NOT
 Binafsi nakubaliana na wewe sababu hakuna aliyefanikiwa chini ya jua kiraisi bila kupitia magumu! Tatzo baadhi yetu  tunapenda kutoa lawama kwa watu waliokwisha fanikiwa pamoja na viongozi! Na hii inatokana na mfumo wa elimu kuilengesha akil,NOT
"Kwenye maisha yangu ndoto yangu haijawahi kuwa kutafuta mali/utajiri, maana kufikiri hivyo ni kufikiri kwa akili ndogo. Mimi huwaza na kubuni namna ya kutatua changamoto kwenye maisha ya jamii yangu yote. Ubunge ni fursa kwangu ya kuijenga upya Nzega yetu na wala siyo ajira ",NOT
"Mimi sikuwahi kupewa mtaji. Nilitengeneza mtaji! Ungeuliza swali hili ningekupa mawazo. Kwa kiasi kikubwa kuanza biashara ama kiwanda zaidi ni kuwa na wazo na kulisimamia na wala siyo kuanza kuwaza mtaji. Ukiwa kwenye Safari ya kutekeleza wazo lako, utapata mbinu za kupata mtaji",NOT
 Mh nadhan kuanza kiwanda ni mtaji. Mimi nmekuwa na wazo la kuanzisha kiwanda kwa miaka takriban kumi ila sijapata hela. Wazo linaanza kufa sasa. Binafisi yangu mtaji huwa ni kila kitu.;,NOT
 Blabla nyiiiiingi;,NOT
 Somo zuri ,NOT
"Wewe unajua mitaa ya Nzega. Pengine unajua nyumbani kwetu. Paliwezaje kutoa mtu kama mimi kama siyo miujiza tu? Mimi nimepambana sana pengine kuliko wewe, nimepitia shida sana. Ninachoeleza ni uhalisia na ukweli wa mambo, mwenye sikio na asikie. Mwenye kiburi aendelee kuvimba! 🙌🏾 ",NOT
 Dr kumbe umepitia hali ngum eeee; Ko tuache mjadala tuu suluhisho ni kujiajir eeee;,NOT
" Hakuna Kiongozi hapa, unemployment ni suala sensitive Sana huwezi Jibu kwa akili mdundio kama hizi .. nalia na tanzania kufikia kuw",NOT
"Michael hunijui vizuri. Kabla ya Ubunge nilikuwa na kampuni yangu binafsi na sikuwahi kuajiriwa kabisa. Pili, ninamiliki chuo cha afya na mradi ukikamilika tutakuwa na hospitali hapo. Tatu, mimi ni mkulima, mfugaji, mfanyabiashara ya mazao na mmiliki wa viwanda, mabasi n.k. ",NOT
 Thanks Mr kwa kutuelewesha tupe mtaji sasa;,NOT
naweza kujituma pia lakin hili suala kila mtu anasababu zake ila wengi #mtaji ndio changamoto kubwa sana;;;;;;;;,NOT
 🤣😂🤣😂 ety msema kwel...daaah,NOT
 Kifupi we ni mjinga akili zako haziko sawa sio bure nina mashaka uwiano kati ya elimu yako na akil zako,NOT
 Sasa wewe inayakiwa uanze kufukuza wafanyakazi wote ulioajiri kwene miradi yako na wao wakajiajiri alafu ndo uje kwetu😎,NOT
 Sasa mkuu kama ni kweli unamiliki ivyo lakini kwa nn uajiliwe sasa iyo ni tamaa au ni kubania nafasi wengine tu.,NOT
 Jitahid umiliki na hotel la utalii nikiwa na ela nije. Nikuungishe😀,NOT
 Mimi sierewi kwani ukiwa mbunge umeajiliwa?,NOT
 Na hiyo kampuni TRA washaichunguza  kama LUGALO au mpaka utumbuliwe ndo inakuwa inachunguzwa 😀😀😀,NOT
  Nakupata sana Mh huwa nakufuatilia Jinsi unavyo mwaga mawazo ya Fursa kwa sisi vijana,NOT
 Tatizo letu lilipoijia ni kwamba wakati wa Mh. Rais Jk walisoma watu wakihakikishiwa ajira Hapo sasa.;;; Wazir ni mtu mkubwa! Hapaswi kuja kutaja list za utajir wake huku ,NOT
 Nshimba ng'osha,NOT
 Hongera sana mheshimiwa;,NOT
 Siasa nikwa ajiri ya kitafuta connection serikalini ili hata ukianza business zingine ziende vizuri ndo mana watu kama kina MO walifanya siasa wakaweka pembeni leo ni billionaire wa kwanza Tz😂😂,NOT
 Tatizo unajimwambafai Sana braza Kigwa! Kule WAMA si ulikuwa umeajiriwa wewe au Ile nayo ni taasisi yako!? Hayo mabasi cjui chuo yamekuja baada ya kupokea mishahara kote huko ulikoajiriwa! Na hata huo ub,NOT
Majanga majanga majanga; Mtaji uliupata wapi hile direct from school??? Hoja tafadhari zinaweza kutusaidia.;�;,NOT
 Hk company ulimwengu wa Tata😁😁�,NOT
 Kampuni pendwa ya usafiri wa mabasi yenye fujo isiyoumiza; Inamana mkuu kigwa,NOT
ulipomaliza tu MD ukafungua mamiradi yote hayo,NOT
je kwa sasa mwanafunzi aliemaliza kadigirii kakae huku anamkopo anaweza kufungua hayo mamiradi bila ya kua na chanzo au mtaji.; Ila huwezi kua mfano wa kuigwa kwa watu kama bado uko mtumishi wa umma,NOT
 hakua na shida ya ubunge wala ukuu wa mkoa na mafanikio yake yanajulikana,NOT
 hapo stil pamoja na mali zako bado huwezi kuaminisha watu zaid ya kuonekana fisadi; Hongera!!; ;,NOT
 Kwann usingeendelea na kujiajiri had ukaamua uajiriwe tu?;,NOT
 Kumbe wewe ni tajiri aisee...mali zote hizo bro.,NOT
 Hujajib swali la msingi,NOT
 kwnn umeajiriwa?!; Hana PHD uyu ni muhuni muhuni tu;; Fix;,ABUSIVE
 Ahahahaha kigwa Hawa nzige wa chadema wasumbufu nduguyangu,ABUSIVE
 Ukooo vizuri boss# we wa kuigwa #kwakoweww gettinghired is particular rather than general#; Mh  ,NOT
Hebu fikiri kama kila mtu akikataa kuajiriwa na kuamua kujiajiri nini kingetokea kwenye hizo biashara zako?; Je,NOT
 hivyo vyote vilikuja kabla ya kuajiriwa au baada?;;;,NOT
 Kwahiyo  unataka nn ni vyako kivyako vyako saw mjomba 😁😁😁🚶🚶,NOT
; Mbona bado unapambana kila mwaka kubaki kwenye uongozi uendelee kuwa mtumishi wa uma ili ulipwe mshahara na serikali? Achia ngazi jiajiri na mwaka huu staafu ubunge? Au madaraka ni matamu brother?,NOT
 Sasa unabana ajira kwawatu wasio na uwezo wa kufikiri kukua wewe unauwezo na kwanini uajiriwe kama sio unafiki mfano wakina mengi wangeweza kuajiriwa pia lkn kwakua walikua wanauwezo wakujiajiri hawakuajiriwa same to mo,NOT
 Daaaaa.!!!,NOT
Nimeshampata mtu wa kumkopa aisee.!!,NOT
Broo  please nikopeshe basi hata 7m kaka,NOT
 Nitakurudishia mdogo mdogo.!!🙏🙏; Kwa hiyo unatambia utajiri ulionao sio! Unautumia kukandamiza wenzio wakoswe ajira,NOT
Mungu ni mwema atakunyoosha utabaki mweupee Kama ulivyotoka tumboni mwa mamaako.;;,NOT
 Asipotoshe uma kama ana hayo yote kwa nini hakubaki huko kuyaendesha kwa 100%  ?Aliona kuwa kwenye siasa (ajira)kunalipa zaidi watakuskiliza mazezeta tu.,NOT
 Swala la Michael eb liache mkuu,NOT
 unaonaje ukiswitch back to ur professionalism  Kisha tukapige zetu major round au hata kuzama theatre kabsa!!;; N;;,NOT
 Kumbe mradi hujakamilika unasubiri kiinua mgongo Cha ubunge,NOT
 Vyote hivyo ulivipata kabla ya kugundua hii siri ya utajiri ktk siasa?;,NOT
 Mheshimiwa kigwala kuendelea kubishana na sisi uku mtandaoni ni unajishushia heshima tu kujianika ushauri wangu Bora ukae kimya tu,NOT
 Kwann usiviendeleze hence job creation ukakimbilia ubunge means umeona hakulip heri uajiriwe maana miongon mwa myth za ujasiriamali ni elimu mheshimiwa we umesoma sana kiasi kwamb unareason kila kitu huez kua mjasiriamali mkubwa ila unaweza ,NOT
Na hivi vyote ulivovisema humu kwenye kiapo cha Utumishi vimo ulivihainisha kweli!;;,NOT
 Umekuwa mbunge na waziri kwa miaka mingapi?,NOT
; Sasa ubunge wa nn kama vyote unavyo? Au ndo kujificha kua na uhuru mambo yako na biashara zako zcfuatiliwe na mamlaka?,NOT
 Kwendraaaaaaaa; OK ,NOT
una chuo cha afya! Huenda ndio chanzo cha figisu kwa Dr Mwaka wakati ile sio?; ,NOT
 Sio unajisifu tuone mpambanaji haswa kumbe umewezeshwa hebu tupe na historia ya familia yako ulipotoka; Dr. Bado kuna n.k. tena  🤣,NOT
 Mkuu umeombwa utuwekee fom ya maadili uliyoijaza wakati ulipopata ubunge iwe kizibitisho kuwa tayari ulikuwa namali hizo ulizonazo mbona lahisi tu mh,NOT
; Mr huoni pia ni vyema na haki ukaachia ngazi ujikite ktk hizo kazi zako binafsi,NOT
 ili mmoja asie na kazi aajiriwe ktk nafasi uliyoko!!!; bezi huko huko mzeee nafas hizo muwaachiee mabao hawana kitu sasa kila kit ww wangine wafanye nn;  ,NOT
ukifungua hospital niajir 🙏🏿; Mwambie akuache kidogo;;,NOT
 Mkubwa Rara ya mshahara ulipwe wakujilipa hata haunogi,NOT
; Naomba kukutana nawewe mh tafadhal kwa namba zangu 0757003635 napenda San kujiajiri,NOT
 Mh.upo kwenye lile kundi linalokataa mwanasiasa asiwe mfanyabiashara,NOT
huku kwenye vyeo mnajua mnavyotumia vyeo vyenu kufanikisha yenu; ;,NOT
 Tata za HK wa mboka tunazielewa Izo 🤓,NOT
 Are we discussing on how we can empower youth to employ themselves or we are discussing about personal accomplishment? 🤔🤔 i think we are out of context,NOT
;; Hamisiiiiiiiiii he he he he he....,NOT
 Sijaelewa  unamiliki chuo cha afya au unajenga chuo cha afya?!! ,NOT
 Intellect is greater than Education,NOT
 mjivuni;;,NOT
Kabla hujafungua mdomo kuongea lazima ushirikishe na ubongo kwanza kile utakacho nena kwa kuangalia crowed itapokeage uliyozngumza angefaa uzngumze @moodewji ,NOT
Bakhresa au Diamond ambao wamejiajili,NOT
Lkn siyo wewe uliyeajiliwa na wanainchi; Amakweli;;,NOT
 Nyie wanasiasa na wasomi mnatuchanganya wananchi mnataka tujiajiri wakati nyie mmeajiriwa na mko kwenye ajira kama mnaona ajira siyo nzuri acheni hiyo ajira mliyonayo tuje kupambambana mtaani muone jinsi   watanzania wanavyoteseka. Kwanza mf,NOT
 sa kama vyote hivyo unavyo na umeajiri watu,NOT
